family,layer,kind,effect,p_upper,p_lower,p_twosided,note
(omnibus),content_cosine,one_vs_rest,0.000504,0.39556,0.60454,0.787321,exploratory two-sided
RESPOND,content_cosine,one_vs_rest,0.006763,0.018198,0.981902,0.038696,exploratory two-sided
EXPRESS,content_cosine,one_vs_rest,0.009846,0.0005,0.9996,0.0015,confirmatory one-sided (p_upper)
EVALUATE,content_cosine,one_vs_rest,-0.000348,0.541446,0.458654,0.926307,confirmatory one-sided (p_upper)
LABEL,content_cosine,one_vs_rest,0.023035,0.0001,1.0,0.0001,exploratory two-sided
STRUCTURAL,content_cosine,one_vs_rest,-0.002735,0.863714,0.136386,0.274073,exploratory two-sided
CAPTION,content_cosine,one_vs_rest,-0.011976,0.9997,0.0004,0.0008,exploratory two-sided
RESPOND,fw_negjsd,one_vs_rest,0.005724,0.113589,0.886511,0.223078,from blocka_inference.csv
RESPOND,pos_cosine,one_vs_rest,-0.008313,0.918308,0.081792,0.169783,from blocka_inference.csv
EXPRESS,fw_negjsd,one_vs_rest,0.004951,0.128487,0.871613,0.254075,from blocka_inference.csv
EXPRESS,pos_cosine,one_vs_rest,0.005764,0.147885,0.852215,0.294071,from blocka_inference.csv
EVALUATE,fw_negjsd,one_vs_rest,0.017594,0.0007,0.9994,0.0012,from blocka_inference.csv
EVALUATE,pos_cosine,one_vs_rest,0.023919,0.0012,0.9989,0.0015,from blocka_inference.csv
LABEL,fw_negjsd,one_vs_rest,0.042425,0.0001,1.0,0.0001,from blocka_inference.csv
LABEL,pos_cosine,one_vs_rest,0.061461,0.0001,1.0,0.0001,from blocka_inference.csv
STRUCTURAL,fw_negjsd,one_vs_rest,-0.00813,0.987501,0.012599,0.025997,from blocka_inference.csv
STRUCTURAL,pos_cosine,one_vs_rest,-0.006693,0.930407,0.069693,0.145285,from blocka_inference.csv
CAPTION,fw_negjsd,one_vs_rest,-0.019219,1.0,0.0001,0.0001,from blocka_inference.csv
CAPTION,pos_cosine,one_vs_rest,-0.02672,1.0,0.0001,0.0002,from blocka_inference.csv
RESPOND,fw_negjsd,mrqap_content_controlled,0.003277,0.29777,0.70233,0.591941,
RESPOND,pos_cosine,mrqap_content_controlled,-0.024108,0.9998,0.0003,0.0014,
EXPRESS,fw_negjsd,mrqap_content_controlled,-0.007651,0.926007,0.074093,0.147585,
EXPRESS,pos_cosine,mrqap_content_controlled,-0.011988,0.971103,0.028997,0.061894,
EVALUATE,fw_negjsd,mrqap_content_controlled,0.033864,0.0001,1.0,0.0001,
EVALUATE,pos_cosine,mrqap_content_controlled,0.045368,0.0001,1.0,0.0001,
LABEL,fw_negjsd,mrqap_content_controlled,0.034244,0.0001,1.0,0.0002,
LABEL,pos_cosine,mrqap_content_controlled,0.051073,0.0001,1.0,0.0001,
STRUCTURAL,fw_negjsd,mrqap_content_controlled,-0.007232,0.971603,0.028497,0.057294,
STRUCTURAL,pos_cosine,mrqap_content_controlled,-0.003384,0.767223,0.232877,0.458654,
CAPTION,fw_negjsd,mrqap_content_controlled,-0.018454,0.9987,0.0014,0.0027,
CAPTION,pos_cosine,mrqap_content_controlled,-0.027781,0.9998,0.0003,0.0005,
RESPOND,fw_negjsd,pooled_decile,7.2e-05,0.492951,0.507149,0.984602,
RESPOND,pos_cosine,pooled_decile,-0.016287,0.9999,0.0002,0.0004,
EXPRESS,fw_negjsd,pooled_decile,-0.003547,0.854115,0.145985,0.292671,
EXPRESS,pos_cosine,pooled_decile,-0.006846,0.959404,0.040696,0.086291,
EVALUATE,fw_negjsd,pooled_decile,0.018054,0.0001,1.0,0.0001,
EVALUATE,pos_cosine,pooled_decile,0.02567,0.0001,1.0,0.0001,
LABEL,fw_negjsd,pooled_decile,0.021657,0.0001,1.0,0.0001,
LABEL,pos_cosine,pooled_decile,0.031011,0.0001,1.0,0.0001,
STRUCTURAL,fw_negjsd,pooled_decile,-0.005915,0.983802,0.016298,0.034597,
STRUCTURAL,pos_cosine,pooled_decile,-0.003595,0.856814,0.143286,0.284472,
CAPTION,fw_negjsd,pooled_decile,-0.008785,0.990601,0.009499,0.018598,
CAPTION,pos_cosine,pooled_decile,-0.013269,0.999,0.0011,0.0031,
EXPRESS,complement_vs_content,spearman,0.041165,0.09719,0.90291,0.187281,confirmatory one-sided
EXPRESS,samehead_vs_content,discrete_contrast,0.017509,0.041596,0.958504,0.084392,
EXPRESS,complement_vs_fw_negjsd,spearman,0.015615,0.29837,0.70173,0.605339,secondary exploratory
EXPRESS,complement_vs_pos_cosine,spearman,0.019078,0.247275,0.752825,0.49635,secondary exploratory
EVALUATE,complement_vs_content,spearman,0.092506,,,,descriptive only; poke-fun heads excluded
