cell,full_effect,full_p2,denoised_effect,p_upper,p_lower,p_twosided,sens_effect,verdict
EVALUATE_fw,0.017594,0.0012,0.013383,0.010099,0.990001,0.016298,0.009233,holds
EVALUATE_pos,0.023919,0.0015,0.019217,0.003,0.9971,0.004,0.010788,holds
LABEL_fw,0.042425,0.0001,0.03863,0.0001,1.0,0.0001,0.018501,holds
LABEL_pos,0.061461,0.0001,0.052561,0.0001,1.0,0.0001,0.032164,holds
LABEL_content,0.023035,0.0001,0.020462,0.0001,1.0,0.0001,0.013427,holds
EXPRESS_content,0.009846,0.0015,0.009264,0.0006,0.9995,0.002,0.01106,holds
CAPTION_fw,-0.019219,0.0001,-0.015057,0.9993,0.0008,0.0017,-0.009207,holds
CAPTION_pos,-0.02672,0.0002,-0.020174,1.0,0.0001,0.0008,-0.012381,holds
CAPTION_content,-0.011976,0.0008,-0.009529,0.9978,0.0023,0.0046,-0.005107,holds
RESPOND_when_clause,0.043906,,0.045215,,,,0.039834,holds (CI excludes 0)
