check,key,value,value2,n
split_half,decile_1,0.719,0.3223,18
split_half,decile_2,0.7812,0.461,23
split_half,decile_3,0.8256,0.518,27
split_half,decile_4,0.8391,0.5212,31
split_half,decile_5,0.867,0.5842,35
split_half,decile_6,0.8886,0.6796,40
split_half,decile_7,0.8651,0.5965,44
split_half,decile_8,0.8295,0.663,57
split_half,decile_9,0.8989,0.75,87
split_half,decile_10,0.9277,0.8621,206
pair_size_gradient,decile_1,-0.40857,0.21959,133790
pair_size_gradient,decile_2,-0.3754,0.26214,153868
pair_size_gradient,decile_3,-0.35995,0.26117,106953
pair_size_gradient,decile_4,-0.37929,0.2599,179270
pair_size_gradient,decile_5,-0.38262,0.24863,92509
pair_size_gradient,decile_6,-0.3549,0.26714,167268
pair_size_gradient,decile_7,-0.35588,0.28367,123848
pair_size_gradient,decile_8,-0.35039,0.27117,136152
pair_size_gradient,decile_9,-0.34253,0.27096,85113
pair_size_gradient,decile_10,-0.28922,0.34846,127765
size_absorption,RESPOND_fw,0.01352,0.008295,
size_absorption,RESPOND_pos,-0.005727,-0.011232,
size_absorption,RESPOND_content,0.012552,0.009875,
size_absorption,EXPRESS_fw,-0.000176,0.00228,
size_absorption,EXPRESS_pos,0.003931,0.006522,
size_absorption,EXPRESS_content,0.013489,0.014742,
size_absorption,EVALUATE_fw,0.024172,0.019554,
size_absorption,EVALUATE_pos,0.0315,0.026624,
size_absorption,EVALUATE_content,-0.008709,-0.011067,
size_absorption,LABEL_fw,0.063183,0.065514,
size_absorption,LABEL_pos,0.08951,0.091969,
size_absorption,LABEL_content,0.035119,0.036311,
size_absorption,STRUCTURAL_fw,-0.008251,-0.009035,
size_absorption,STRUCTURAL_pos,-0.006819,-0.007648,
size_absorption,STRUCTURAL_content,-0.000882,-0.001283,
size_absorption,CAPTION_fw,-0.034508,-0.026242,
size_absorption,CAPTION_pos,-0.047121,-0.038381,
size_absorption,CAPTION_content,-0.021181,-0.016947,
pure_carrier,EXPRESS_content,0.007106,0.032897,296
pure_carrier,EVALUATE_pos,0.014924,0.039796,160
pure_carrier,LABEL_pos,0.049582,0.0001,124
when_typectl,RESPOND,0.015757,0.060594,1617
anisotropy,EXPRESS,0.002887,0.0002,1617
anisotropy,LABEL,0.009137,0.0001,1617
anisotropy,RESPOND,0.003914,0.0002,1617
anisotropy,CAPTION,0.007461,0.0001,1617
instance_content,EXPRESS,-4.7e-05,0.967903,
instance_content,LABEL,0.006937,0.0002,
