cell,capped_effect,capped_p2,uncapped_effect,p_upper,p_lower,p_twosided,capped_cat,uncapped_cat,agree
omnibus_fw,-0.005091,0.061694,-0.004512,0.946105,0.053995,0.10399,n.s.,n.s.,True
omnibus_pos,-0.006309,0.072493,-0.005312,0.947705,0.052395,0.10439,n.s.,n.s.,True
omnibus_content,0.000504,0.787321,0.002026,0.142986,0.857114,0.29627,n.s.,n.s.,True
omnibus_visual,0.001908,0.230377,0.00355,0.009799,0.990301,0.022498,n.s.,sig+,False
RESPOND_fw,0.005724,0.223078,0.004928,0.156184,0.843916,0.308169,n.s.,n.s.,True
RESPOND_pos,-0.008313,0.169783,-0.006825,0.887011,0.113089,0.231877,n.s.,n.s.,True
RESPOND_content,0.006763,0.038696,0.006044,0.036096,0.964004,0.069493,sig+,n.s.,False
RESPOND_visual,0.007045,0.011599,0.007547,0.0035,0.9966,0.005799,sig+,sig+,True
EXPRESS_fw,0.004951,0.254075,0.00156,0.356964,0.643136,0.726127,n.s.,n.s.,True
EXPRESS_pos,0.005764,0.294071,0.004062,0.210279,0.789821,0.429057,n.s.,n.s.,True
EXPRESS_content,0.009846,0.0015,0.009273,0.0012,0.9989,0.0024,sig+,sig+,True
EXPRESS_visual,0.009,0.0005,0.00759,0.001,0.9991,0.0017,sig+,sig+,True
EVALUATE_fw,0.017594,0.0012,0.012012,0.019898,0.980202,0.034397,sig+,sig+,True
EVALUATE_pos,0.023919,0.0015,0.016623,0.009399,0.990701,0.013799,sig+,sig+,True
EVALUATE_content,-0.000348,0.926307,-0.003939,0.834317,0.165783,0.332167,n.s.,n.s.,True
EVALUATE_visual,-0.000233,0.944706,-0.003828,0.881512,0.118588,0.243876,n.s.,n.s.,True
LABEL_fw,0.042425,0.0001,0.038365,0.0001,1.0,0.0001,sig+,sig+,True
LABEL_pos,0.061461,0.0001,0.054118,0.0001,1.0,0.0001,sig+,sig+,True
LABEL_content,0.023035,0.0001,0.020655,0.0001,1.0,0.0001,sig+,sig+,True
LABEL_visual,0.014995,0.0001,0.00962,0.0028,0.9973,0.005899,sig+,sig+,True
STRUCTURAL_fw,-0.00813,0.025997,-0.006428,0.959504,0.040596,0.079292,sig-,n.s.,False
STRUCTURAL_pos,-0.006693,0.145285,-0.005683,0.907809,0.092291,0.187381,n.s.,n.s.,True
STRUCTURAL_content,-0.002735,0.274073,-0.000786,0.611039,0.389061,0.762024,n.s.,n.s.,True
STRUCTURAL_visual,-0.002251,0.289171,-0.000245,0.543846,0.456254,0.90441,n.s.,n.s.,True
CAPTION_fw,-0.019219,0.0001,-0.014723,0.9995,0.0006,0.0021,sig-,sig-,True
CAPTION_pos,-0.02672,0.0002,-0.019391,1.0,0.0001,0.0008,sig-,sig-,True
CAPTION_content,-0.011976,0.0008,-0.008994,0.994301,0.005799,0.009199,sig-,sig-,True
CAPTION_visual,0.000786,0.783422,0.005524,0.024398,0.975702,0.047995,n.s.,sig+,False
reg_EVALUATE_fw,0.034205,0.0001,0.030736,0.0001,1.0,0.0001,sig+,sig+,True
reg_EVALUATE_pos,0.045533,0.0001,0.040172,0.0001,1.0,0.0001,sig+,sig+,True
reg_LABEL_fw,0.03355,0.0002,0.037127,0.0001,1.0,0.0001,sig+,sig+,True
reg_LABEL_pos,0.050744,0.0001,0.053036,0.0001,1.0,0.0001,sig+,sig+,True
reg_EXPRESS_content,0.008328,0.050295,0.009508,0.017798,0.982302,0.034597,n.s.,sig+,False
reg_LABEL_content,0.027566,0.0001,0.029867,0.0001,1.0,0.0002,sig+,sig+,True
